Name,Price,Launching_Date,Reviews,Link,website_name
Honda Civic,PKR 63.5 - 75.5 lacs,Not Disclosed,297 Reviews,https://www.pakwheels.com/new-cars/honda/civic/,PakWheels
Suzuki Alto,PKR 17.0 - 22.2 lacs,Not Disclosed,148 Reviews,https://www.pakwheels.com/new-cars/suzuki/alto/,PakWheels
Suzuki Cultus,PKR 27.5 - 32.3 lacs,Not Disclosed,239 Reviews,https://www.pakwheels.com/new-cars/suzuki/cultus/,PakWheels
Honda City,PKR 37.7 - 44.8 lacs,Not Disclosed,379 Reviews,https://www.pakwheels.com/new-cars/honda/city/,PakWheels
Toyota Corolla,PKR 45.7 - 57.5 lacs,Not Disclosed,515 Reviews,https://www.pakwheels.com/new-cars/toyota/corolla/,PakWheels
KIA Sportage,PKR 62.5 - 72.5 lacs,Not Disclosed,32 Reviews,https://www.pakwheels.com/new-cars/kia/sportage/,PakWheels
Proton Saga,PKR 28.2 - 31.5 lacs,Not Disclosed,17 Reviews,https://www.pakwheels.com/new-cars/proton/saga--2/,PakWheels
Hyundai Tucson,PKR 69.0 - 74.0 lacs,Not Disclosed,16 Reviews,https://www.pakwheels.com/new-cars/hyundai/tucson/,PakWheels
United Bravo,PKR 15.2 - 15.2 lacs,Not Disclosed,24 Reviews,https://www.pakwheels.com/new-cars/united/bravo--2/,PakWheels
Prince Pearl,PKR 17.5 - 17.5 lacs,Not Disclosed,33 Reviews,https://www.pakwheels.com/new-cars/prince/pearl/,PakWheels
Toyota Yaris,PKR 35.4 - 42.6 lacs,Not Disclosed,98 Reviews,https://www.pakwheels.com/new-cars/toyota/yaris/,PakWheels
Hyundai Sonata,PKR 79.0 - 85.0 lacs,Not Disclosed,3 Reviews,https://www.pakwheels.com/new-cars/hyundai/sonata/,PakWheels
KIA Picanto,PKR 31.0 - 32.0 lacs,Not Disclosed,56 Reviews,https://www.pakwheels.com/new-cars/kia/picanto/,PakWheels
Changan Alsvin,PKR 33.9 - 38.4 lacs,Not Disclosed,53 Reviews,https://www.pakwheels.com/new-cars/changan/alsvin/,PakWheels
United Alpha,PKR 17.7 - 17.7 lacs,Not Disclosed,7 Reviews,https://www.pakwheels.com/new-cars/united/alpha/,PakWheels
Suzuki Wagon R,PKR 24.2 - 28.0 lacs,Not Disclosed,130 Reviews,https://www.pakwheels.com/new-cars/suzuki/wagon-r/,PakWheels
Toyota Fortuner,PKR 115.8 - 147.0 lacs,Not Disclosed,20 Reviews,https://www.pakwheels.com/new-cars/toyota/fortuner/,PakWheels
Hyundai Elantra,PKR 51.0 - 55.0 lacs,Not Disclosed,15 Reviews,https://www.pakwheels.com/new-cars/hyundai/elantra/,PakWheels
KIA Sorento,PKR 78.0 - 85.0 lacs,Not Disclosed,8 Reviews,https://www.pakwheels.com/new-cars/kia/sorento/,PakWheels
Suzuki Swift,PKR 31.8 - 37.6 lacs,Not Disclosed,150 Reviews,https://www.pakwheels.com/new-cars/suzuki/swift/,PakWheels
BMW iX3,PKR 174.9 - 174.9 lacs,Launched July 2022,0 Reviews,https://www.pakwheels.com/new-cars/bmw/ix3/,PakWheels
GUGU  250,PKR 40.0 - 70.0 lacs,Launched June 2022,0 Reviews,https://www.pakwheels.com/new-cars/gugu/250/,PakWheels
BMW i4,PKR 154.9 - 194.9 lacs,Launched June 2022,0 Reviews,https://www.pakwheels.com/new-cars/bmw/i4/,PakWheels
Rinco Aria,PKR 24.0 - 24.0 lacs,Launched May 2022,0 Reviews,https://www.pakwheels.com/new-cars/rinco/aria/,PakWheels
Toyota Land Cruiser,PKR 800.0 - 800.0 lacs,Launched April 2022,0 Reviews,https://www.pakwheels.com/new-cars/toyota/land-cruiser/,PakWheels
BMW iX,PKR 269.9 - 269.9 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/bmw/ix/,PakWheels
Chery Tiggo 8 Pro,PKR 70.0 - 70.0 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/chery/tiggo-8-pro/,PakWheels
Chery Tiggo 4 Pro,PKR 50.0 - 50.0 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/chery/tiggo-4-pro/,PakWheels
Changan Oshan X7,PKR 70.5 - 75.5 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/changan/oshan-x7/,PakWheels
Mercedes Benz S Class,PKR 650.0 - 650.0 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/mercedes-benz/s-class/,PakWheels
Honda Civic,PKR 63.5 - 75.5 lacs,Launched March 2022,0 Reviews,https://www.pakwheels.com/new-cars/honda/civic/,PakWheels
Suzuki Swift,PKR 31.8 - 37.6 lacs,Launched February 2022,0 Reviews,https://www.pakwheels.com/new-cars/suzuki/swift/,PakWheels
Hyundai Staria,PKR 72.0 - 93.0 lacs,Launched February 2022,0 Reviews,https://www.pakwheels.com/new-cars/hyundai/staria/,PakWheels
Peugeot 2008,PKR 52.5 - 58.5 lacs,Launched January 2022,0 Reviews,https://www.pakwheels.com/new-cars/peugeot/2008/,PakWheels
BAIC BJ40 Plus,PKR 93.0 - 93.0 lacs,Launched November 2021,0 Reviews,https://www.pakwheels.com/new-cars/baic/bj40-plus/,PakWheels
Audi e-tron GT,PKR 211.5 - 296.0 lacs,Launched November 2021,0 Reviews,https://www.pakwheels.com/new-cars/audi/e-tron-gt/,PakWheels
2022 Honda HR-V,PKR 90 lacs*,"Launching September 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/honda/hr-v/2022/,PakWheels
2022 Toyota Corolla,PKR 75 lacs*,"Launching October 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/toyota/corolla/2022/,PakWheels
2022 Lexus LX Series,PKR 8 crore*,"Launching October 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/lexus/lx-series/2022/,PakWheels
2022 Peugeot 3008,PKR 65 lacs*,"Launching October 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/peugeot/3008/2022/,PakWheels
2022 Peugeot 5008,PKR 75 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/peugeot/5008/2022/,PakWheels
2022 MG 6,PKR 50 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/mg/6/2022/,PakWheels
2022 MG 3,PKR 25 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/mg/3/2022/,PakWheels
2022 Proton X50,PKR 50 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/proton/x50/2022/,PakWheels
2022 MG 5,PKR 43 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/mg/5/2022/,PakWheels
2022 BMW i7,PKR 5 crore*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/bmw/i7/2022/,PakWheels
2022 Changan X5,PKR 60 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/changan/x5/2022/,PakWheels
2022 DFSK Seres 3,PKR 55 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/dfsk/seres-3/2022/,PakWheels
2022 Suzuki Every,PKR 20 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/suzuki/every/2022/,PakWheels
2022 Changan CS35 Plus,PKR 50 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/changan/cs35-plus/2022/,PakWheels
2022 GAC GS3,PKR 55 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/gac/gs3/2022/,PakWheels
2022 KIA Cerato,PKR 45 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/kia/cerato/2022/,PakWheels
2022 MG MARVEL R,PKR 70 lacs*,"Launching December 2022
              *",0 Reviews,https://www.pakwheels.com/new-cars/mg/marvel-r/2022/,PakWheels
2023 MG RX8,PKR 88 lacs*,"Launching February 2023
              *",0 Reviews,https://www.pakwheels.com/new-cars/mg/rx8/2023/,PakWheels
2023 DFSK Glory 500,PKR 45 lacs*,"Launching March 2023
              *",0 Reviews,https://www.pakwheels.com/new-cars/dfsk/glory-500/2023/,PakWheels
2023 Changan UNI-T,PKR 50 lacs*,"Launching April 2023
              *",0 Reviews,https://www.pakwheels.com/new-cars/changan/uni-t/2023/,PakWheels
2023 Suzuki XL7,PKR 50 lacs*,"Launching August 2023
              *",0 Reviews,https://www.pakwheels.com/new-cars/suzuki/xl7/2023/,PakWheels
2024 Jaxeri NUR-E,PKR 35 lacs*,"Launching January 2024
              *",0 Reviews,https://www.pakwheels.com/new-cars/jaxeri/nur-e/2024/,PakWheels
